lambda    f             f_err
  0      -0.374839     0.024879
  1      -1.552560     0.032139
  2      -2.526497     0.015254
  3      -4.393988     0.014412
  4      -6.004216     0.016729
  5      -6.782340     0.027031
  6      -7.367276     0.013835
  7      -7.994257     0.016992
  8      -8.540690     0.020069
  9      -9.435461     0.012065
  10      -10.194578     0.022611
  11      -10.856686     0.021931
  12      -11.092262     0.013721
  13      -11.980566     0.022872
  14      -12.371175     0.021865
  15      -12.231711     0.020290
  16      -11.577976     0.028914
  17      -9.933221     0.029053
  18      -7.643906     0.031595
  19      -5.765283     0.026355
