lambda    f             f_err
  0      -0.374839     0.012802
  1      -1.552560     0.012643
  2      -2.526497     0.009409
  3      -4.393988     0.009781
  4      -6.004216     0.008457
  5      -6.782340     0.014378
  6      -7.367276     0.009444
  7      -7.994257     0.009549
  8      -8.540690     0.009737
  9      -9.435461     0.010744
  10      -10.194578     0.012437
  11      -10.856686     0.011644
  12      -11.092262     0.012342
  13      -11.980566     0.013715
  14      -12.371175     0.017346
  15      -12.231711     0.018423
  16      -11.577976     0.024753
  17      -9.933221     0.034756
  18      -7.643906     0.046764
  19      -5.765283     0.050328
