lambda    f             f_err
  0      -0.374839     0.020194
  1      -1.552560     0.020780
  2      -2.526497     0.012870
  3      -4.393988     0.015640
  4      -6.004216     0.013431
  5      -6.782340     0.024285
  6      -7.367276     0.012522
  7      -7.994257     0.014777
  8      -8.540690     0.016624
  9      -9.435461     0.014839
  10      -10.194578     0.016988
  11      -10.856686     0.020689
  12      -11.092262     0.016614
  13      -11.980566     0.018128
  14      -12.371175     0.021629
  15      -12.231711     0.021002
  16      -11.577976     0.029594
  17      -9.933221     0.031839
  18      -7.643906     0.035626
  19      -5.765283     0.038678
