lambda    f             f_err
  0      -0.374839     0.014830
  1      -1.552560     0.018077
  2      -2.526497     0.010872
  3      -4.393988     0.011095
  4      -6.004216     0.012286
  5      -6.782340     0.019315
  6      -7.367276     0.012052
  7      -7.994257     0.012364
  8      -8.540690     0.013574
  9      -9.435461     0.012673
  10      -10.194578     0.013134
  11      -10.856686     0.014506
  12      -11.092262     0.015632
  13      -11.980566     0.014593
  14      -12.371175     0.017693
  15      -12.231711     0.019621
  16      -11.577976     0.025313
  17      -9.933221     0.034168
  18      -7.643906     0.042837
  19      -5.765283     0.047333
