lambda    f             f_err
  0      -0.000007     0.009673
  1      -11.848778     0.008775
  2      -22.833579     0.013402
  3      -42.385509     0.015881
  4      -58.894760     0.019136
  5      -66.169906     0.020768
  6      -72.651397     0.021305
  7      -78.529143     0.024005
  8      -83.690009     0.023983
  9      -92.276328     0.032973
  10      -98.361450     0.033217
  11      -103.810805     0.041212
  12      -105.626592     0.038815
  13      -106.433218     0.038821
  14      -106.918325     0.041968
  15      -106.911299     0.044507
  16      -106.162558     0.053611
  17      -104.582802     0.054451
  18      -102.447159     0.063876
  19      -100.531648     0.075155
