lambda    f             f_err
  0      -0.000007     0.011782
  1      -11.848778     0.012974
  2      -22.833579     0.013961
  3      -42.385509     0.014466
  4      -58.894760     0.021476
  5      -66.169906     0.018982
  6      -72.651397     0.023958
  7      -78.529143     0.023361
  8      -83.690009     0.022793
  9      -92.276328     0.025907
  10      -98.361450     0.031820
  11      -103.810805     0.028767
  12      -105.626592     0.030265
  13      -106.433218     0.041850
  14      -106.918325     0.036146
  15      -106.911299     0.036762
  16      -106.162558     0.040113
  17      -104.582802     0.040585
  18      -102.447159     0.054933
  19      -100.531648     0.057267
