lambda    f             f_err
  0      -0.000000     0.004750
  1      -15.216678     0.004935
  2      -29.517334     0.007517
  3      -55.587146     0.014934
  4      -78.155543     0.022619
  5      -88.129438     0.022222
  6      -97.148552     0.023645
  7      -105.360745     0.026252
  8      -112.793860     0.030008
  9      -125.000719     0.033269
  10      -133.990066     0.035820
  11      -141.970321     0.049597
  12      -144.597198     0.054419
  13      -145.486198     0.052320
  14      -145.869925     0.058465
  15      -145.829422     0.061945
  16      -145.112669     0.063685
  17      -143.474299     0.086192
  18      -141.341598     0.088633
  19      -139.505674     0.101628
