lambda    f             f_err
  0      -0.000000     0.006613
  1      -15.216678     0.006814
  2      -29.517334     0.008680
  3      -55.587146     0.014138
  4      -78.155543     0.020380
  5      -88.129438     0.020927
  6      -97.148552     0.021264
  7      -105.360745     0.026778
  8      -112.793860     0.027491
  9      -125.000719     0.032086
  10      -133.990066     0.040727
  11      -141.970321     0.054200
  12      -144.597198     0.048609
  13      -145.486198     0.054005
  14      -145.869925     0.053060
  15      -145.829422     0.059692
  16      -145.112669     0.064839
  17      -143.474299     0.085846
  18      -141.341598     0.082777
  19      -139.505674     0.092780
