lambda    f             f_err
  0      -0.000000     0.010111
  1      -15.216678     0.008804
  2      -29.517334     0.009377
  3      -55.587146     0.013750
  4      -78.155543     0.019891
  5      -88.129438     0.019869
  6      -97.148552     0.024281
  7      -105.360745     0.023550
  8      -112.793860     0.027656
  9      -125.000719     0.031431
  10      -133.990066     0.035332
  11      -141.970321     0.040365
  12      -144.597198     0.041469
  13      -145.486198     0.050867
  14      -145.869925     0.051187
  15      -145.829422     0.059826
  16      -145.112669     0.059425
  17      -143.474299     0.064309
  18      -141.341598     0.078809
  19      -139.505674     0.078471
