lambda    f             f_err
  0      -0.000000     0.010577
  1      -15.216678     0.010239
  2      -29.517334     0.012107
  3      -55.587146     0.016494
  4      -78.155543     0.018388
  5      -88.129438     0.019250
  6      -97.148552     0.021941
  7      -105.360745     0.022993
  8      -112.793860     0.030078
  9      -125.000719     0.031512
  10      -133.990066     0.035040
  11      -141.970321     0.039986
  12      -144.597198     0.030829
  13      -145.486198     0.038707
  14      -145.869925     0.036516
  15      -145.829422     0.039948
  16      -145.112669     0.045973
  17      -143.474299     0.058244
  18      -141.341598     0.064720
  19      -139.505674     0.070159
