lambda    f             f_err
  0      -2.819951     0.025494
  1      -3.905461     0.023529
  2      -4.578392     0.024913
  3      -4.743034     0.022085
  4      -4.543389     0.022817
  5      -3.579915     0.022935
  6      -1.942325     0.018211
  7      -0.329351     0.017896
