lambda    f             f_err
  0      -2.819951     0.010848
  1      -3.905461     0.019750
  2      -4.578392     0.016845
  3      -4.743034     0.007503
  4      -4.543389     0.017420
  5      -3.579915     0.013486
  6      -1.942325     0.015387
  7      -0.329351     0.005440
