lambda    f             f_err
  0      -2.819951     0.035842
  1      -3.905461     0.033967
  2      -4.578392     0.033537
  3      -4.743034     0.030319
  4      -4.543389     0.031265
  5      -3.579915     0.024966
  6      -1.942325     0.018364
  7      -0.329351     0.023101
