lambda    f             f_err
  0      -2.819951     0.033504
  1      -3.905461     0.029682
  2      -4.578392     0.030512
  3      -4.743034     0.023176
  4      -4.543389     0.026677
  5      -3.579915     0.022560
  6      -1.942325     0.019763
  7      -0.329351     0.019417
