	theta  lambda  f
	-2.395882	 0.000000	132.768345
	-2.395882	 1.000000	118.023052
	-2.395882	 2.000000	105.204203
	-2.395882	 3.000000	81.529717
	-2.395882	 4.000000	60.736515
	-2.395882	 5.000000	50.942040
	-2.395882	 6.000000	43.952373
	-2.395882	 7.000000	37.933040
	-2.395882	 8.000000	30.443587
	-2.395882	 9.000000	18.308738
	-2.395882	 10.000000	10.781697
	-2.395882	 11.000000	3.697271
	-2.395882	 12.000000	0.446006
	-2.395882	 13.000000	1.097813
	-2.395882	 14.000000	0.943994
	-2.395882	 15.000000	0.000000
