lambda    f             f_err
  0      -2.819951     0.015314
  1      -3.905461     0.020549
  2      -4.578392     0.016537
  3      -4.743034     0.017111
  4      -4.543389     0.017602
  5      -3.579915     0.013821
  6      -1.942325     0.014601
  7      -0.329351     0.011890
