lambda    f             f_err
  0      -2.819951     0.010244
  1      -3.905461     0.005670
  2      -4.578392     0.011722
  3      -4.743034     0.017710
  4      -4.543389     0.003286
  5      -3.579915     0.010554
  6      -1.942325     0.002041
  7      -0.329351     0.000360
