lambda    f             f_err
  0      -2.819951     0.023596
  1      -3.905461     0.024171
  2      -4.578392     0.024934
  3      -4.743034     0.018619
  4      -4.543389     0.024039
  5      -3.579915     0.021434
  6      -1.942325     0.020084
  7      -0.329351     0.012496
