lambda    f             f_err
  0      -2.819951     0.038406
  1      -3.905461     0.032114
  2      -4.578392     0.034031
  3      -4.743034     0.029653
  4      -4.543389     0.029082
  5      -3.579915     0.020768
  6      -1.942325     0.019060
  7      -0.329351     0.019828
