lambda    f             f_err
  0      -0.000007     0.005702
  1      -11.849010     0.006050
  2      -22.840632     0.009110
  3      -42.398694     0.013944
  4      -58.985544     0.021475
  5      -66.198595     0.019979
  6      -72.691979     0.025883
  7      -78.595662     0.025574
  8      -83.819300     0.029198
  9      -92.284901     0.032154
  10      -98.476476     0.032267
  11      -103.927241     0.033044
  12      -105.638645     0.040112
  13      -106.604741     0.040032
  14      -106.948551     0.043455
  15      -106.788603     0.045956
  16      -106.150544     0.045360
  17      -104.539279     0.060541
  18      -102.317548     0.064171
  19      -100.509271     0.076197
