lambda    f             f_err
  0      -0.000007     0.010195
  1      -11.849010     0.009400
  2      -22.840632     0.010212
  3      -42.398694     0.008321
  4      -58.985544     0.018776
  5      -66.198595     0.015684
  6      -72.691979     0.023978
  7      -78.595662     0.025809
  8      -83.819300     0.027932
  9      -92.284901     0.024023
  10      -98.476476     0.024485
  11      -103.927241     0.026959
  12      -105.638645     0.041818
  13      -106.604741     0.039065
  14      -106.948551     0.033645
  15      -106.788603     0.030013
  16      -106.150544     0.038415
  17      -104.539279     0.036096
  18      -102.317548     0.042908
  19      -100.509271     0.046668
