lambda    f             f_err
  0      -0.000007     0.010289
  1      -11.849010     0.009570
  2      -22.840632     0.008795
  3      -42.398694     0.009846
  4      -58.985544     0.017992
  5      -66.198595     0.017835
  6      -72.691979     0.018741
  7      -78.595662     0.025935
  8      -83.819300     0.024727
  9      -92.284901     0.026071
  10      -98.476476     0.026640
  11      -103.927241     0.035508
  12      -105.638645     0.034806
  13      -106.604741     0.039175
  14      -106.948551     0.038997
  15      -106.788603     0.038915
  16      -106.150544     0.044830
  17      -104.539279     0.047137
  18      -102.317548     0.053197
  19      -100.509271     0.057107
