lambda    f             f_err
  0      -0.000007     0.005809
  1      -11.849010     0.005876
  2      -22.840632     0.008032
  3      -42.398694     0.012806
  4      -58.985544     0.019958
  5      -66.198595     0.019886
  6      -72.691979     0.022600
  7      -78.595662     0.026091
  8      -83.819300     0.026553
  9      -92.284901     0.029207
  10      -98.476476     0.029873
  11      -103.927241     0.032923
  12      -105.638645     0.041509
  13      -106.604741     0.039474
  14      -106.948551     0.042638
  15      -106.788603     0.044329
  16      -106.150544     0.046958
  17      -104.539279     0.063205
  18      -102.317548     0.072825
  19      -100.509271     0.079333
