lambda    f             f_err
  0      -0.000007     0.006881
  1      -11.849010     0.007274
  2      -22.840632     0.008296
  3      -42.398694     0.012797
  4      -58.985544     0.018166
  5      -66.198595     0.021036
  6      -72.691979     0.022739
  7      -78.595662     0.024579
  8      -83.819300     0.027231
  9      -92.284901     0.028638
  10      -98.476476     0.032015
  11      -103.927241     0.036163
  12      -105.638645     0.037848
  13      -106.604741     0.035537
  14      -106.948551     0.044401
  15      -106.788603     0.043049
  16      -106.150544     0.047755
  17      -104.539279     0.057980
  18      -102.317548     0.063652
  19      -100.509271     0.068654
