lambda    f             f_err
  0      -2.784366     0.033236
  1      -3.935539     0.029517
  2      -4.578068     0.028181
  3      -4.810054     0.028103
  4      -4.537284     0.028047
  5      -3.562397     0.023253
  6      -1.908456     0.017373
  7      -0.338425     0.019218
