lambda    f             f_err
  0      -2.784366     0.034392
  1      -3.935539     0.035195
  2      -4.578068     0.026940
  3      -4.810054     0.029367
  4      -4.537284     0.027222
  5      -3.562397     0.021894
  6      -1.908456     0.017148
  7      -0.338425     0.020168
