lambda    f             f_err
  0      -2.784366     0.032411
  1      -3.935539     0.024260
  2      -4.578068     0.025367
  3      -4.810054     0.014953
  4      -4.537284     0.025449
  5      -3.562397     0.015078
  6      -1.908456     0.025289
  7      -0.338425     0.012985
