lambda    f             f_err
  0      -0.572458     0.011995
  1      -1.431270     0.011242
  2      -2.204706     0.011280
  3      -3.608837     0.009250
  4      -4.829943     0.012714
  5      -5.360646     0.011566
  6      -5.846764     0.011083
  7      -6.356211     0.010145
  8      -6.741753     0.012345
  9      -7.426130     0.009841
  10      -8.011502     0.010953
  11      -8.464688     0.013686
  12      -8.696500     0.010894
  13      -9.538067     0.012399
  14      -9.921146     0.012784
  15      -9.785187     0.018687
  16      -9.066549     0.023449
  17      -7.403253     0.032827
  18      -5.231595     0.036634
  19      -3.397746     0.049668
