lambda    f             f_err
  0      -0.572458     0.008008
  1      -1.431270     0.006163
  2      -2.204706     0.006731
  3      -3.608837     0.006087
  4      -4.829943     0.007246
  5      -5.360646     0.007071
  6      -5.846764     0.007884
  7      -6.356211     0.007680
  8      -6.741753     0.007565
  9      -7.426130     0.007967
  10      -8.011502     0.008842
  11      -8.464688     0.008362
  12      -8.696500     0.010082
  13      -9.538067     0.010394
  14      -9.921146     0.012187
  15      -9.785187     0.017282
  16      -9.066549     0.023730
  17      -7.403253     0.035498
  18      -5.231595     0.045173
  19      -3.397746     0.047050
