lambda    f             f_err
  0      -0.572458     0.016401
  1      -1.431270     0.015559
  2      -2.204706     0.015396
  3      -3.608837     0.012546
  4      -4.829943     0.016529
  5      -5.360646     0.018951
  6      -5.846764     0.014488
  7      -6.356211     0.013174
  8      -6.741753     0.014262
  9      -7.426130     0.011482
  10      -8.011502     0.014671
  11      -8.464688     0.014891
  12      -8.696500     0.011843
  13      -9.538067     0.014047
  14      -9.921146     0.014022
  15      -9.785187     0.017931
  16      -9.066549     0.023456
  17      -7.403253     0.029697
  18      -5.231595     0.034968
  19      -3.397746     0.047662
