lambda    f             f_err
  0      -2.784366     0.026060
  1      -3.935539     0.020157
  2      -4.578068     0.018953
  3      -4.810054     0.016190
  4      -4.537284     0.019863
  5      -3.562397     0.019929
  6      -1.908456     0.019856
  7      -0.338425     0.016734
