lambda    f             f_err
  0      -2.784366     0.029743
  1      -3.935539     0.027921
  2      -4.578068     0.027211
  3      -4.810054     0.027695
  4      -4.537284     0.023270
  5      -3.562397     0.023728
  6      -1.908456     0.021274
  7      -0.338425     0.018160
