lambda    f             f_err
  0      -2.784366     0.036930
  1      -3.935539     0.018568
  2      -4.578068     0.033384
  3      -4.810054     0.005350
  4      -4.537284     0.026053
  5      -3.562397     0.020259
  6      -1.908456     0.027085
  7      -0.338425     0.000799
