lambda    f             f_err
  0      -2.784366     0.032602
  1      -3.935539     0.028787
  2      -4.578068     0.031716
  3      -4.810054     0.028390
  4      -4.537284     0.027058
  5      -3.562397     0.024016
  6      -1.908456     0.020475
  7      -0.338425     0.019793
