lambda    f             f_err
  0      -2.784366     0.029124
  1      -3.935539     0.021757
  2      -4.578068     0.018636
  3      -4.810054     0.019709
  4      -4.537284     0.024451
  5      -3.562397     0.015644
  6      -1.908456     0.023477
  7      -0.338425     0.015986
