#! FIELDS theta lambda file.free der_theta der_lambda
#! SET min_theta -pi
#! SET max_theta pi
#! SET nbins_theta  360
#! SET periodic_theta true
#! SET min_lambda -0.000353553
#! SET max_lambda 15.0004
#! SET nbins_lambda  17
#! SET periodic_lambda false
   -3.141592654   -0.000353553   -0.696130186    0.002074586 -24611.891559522
   -3.124139361   -0.000353553   -0.696070510    0.004285799 -24609.781694712
   -3.106686069   -0.000353553   -0.695975855    0.006369804 -24606.435157669
   -3.089232776   -0.000353553   -0.695840736    0.008467820 -24601.657984017
   -3.071779484   -0.000353553   -0.695660860    0.010572878 -24595.298395060
   -3.054326191   -0.000353553   -0.695454846    0.012605038 -24588.014717769
   -3.036872898   -0.000353553   -0.695216759    0.014760587 -24579.597091189
   -3.019419606   -0.000353553   -0.694935068    0.016920574 -24569.637821037
   -3.001966313   -0.000353553   -0.694613084    0.018978849 -24558.253952445
   -2.984513021   -0.000353553   -0.694270829    0.020951916 -24546.153435738
   -2.967059728   -0.000353553   -0.693880949    0.022996667 -24532.369111938
   -2.949606436   -0.000353553   -0.693471523    0.024976106 -24517.893719480
   -2.932153143   -0.000353553   -0.693013519    0.026888884 -24501.700865489
   -2.914699851   -0.000353553   -0.692521145    0.028859580 -24484.292847830
   -2.897246558   -0.000353553   -0.692006579    0.030558369 -24466.100192178
   -2.879793266   -0.000353553   -0.691472222    0.032474384 -24447.207863462
   -2.862339973   -0.000353553   -0.690884446    0.034268263 -24426.426858656
   -2.844886681   -0.000353553   -0.690252162    0.036066147 -24404.072279191
   -2.827433388   -0.000353553   -0.689589402    0.037832291 -24380.640172229
   -2.809980096   -0.000353553   -0.688914232    0.039478508 -24356.769360462
   -2.792526803   -0.000353553   -0.688222885    0.041152526 -24332.326563556
   -2.775073511   -0.000353553   -0.687485451    0.042767555 -24306.254351539
   -2.757620218   -0.000353553   -0.686725266    0.044326689 -24279.377797153
   -2.740166926   -0.000353553   -0.685921290    0.045877397 -24250.952997091
   -2.722713633   -0.000353553   -0.685100872    0.047415392 -24221.946848196
   -2.705260341   -0.000353553   -0.684251922    0.048926313 -24191.931966098
   -2.687807048   -0.000353553   -0.683399366    0.050367325 -24161.789595931
   -2.670353756   -0.000353553   -0.682507908    0.051770030 -24130.271836488
   -2.652900463   -0.000353553   -0.681588223    0.053011548 -24097.756102463
   -2.635447171   -0.000353553   -0.680649866    0.054210441 -24064.580205903
   -2.617993878   -0.000353553   -0.679701367    0.055454045 -24031.045724523
