lambda    f             f_err
  0      -0.033400     0.007159
  1      -3.456927     0.006937
  2      -6.632012     0.008158
  3      -12.402143     0.010834
  4      -17.337950     0.012587
  5      -19.517441     0.012734
  6      -21.496504     0.012403
  7      -23.258942     0.013090
  8      -24.878788     0.013629
  9      -27.576953     0.014853
  10      -29.620223     0.017028
  11      -31.502889     0.017058
  12      -32.166184     0.018900
  13      -33.012620     0.015927
  14      -33.444916     0.018856
  15      -33.275346     0.022286
  16      -32.555303     0.030160
  17      -30.890089     0.041227
  18      -28.588195     0.050759
  19      -26.694117     0.054795
