lambda    f             f_err
  0      -0.033400     0.005559
  1      -3.456927     0.006715
  2      -6.632012     0.007471
  3      -12.402143     0.009268
  4      -17.337950     0.011948
  5      -19.517441     0.013122
  6      -21.496504     0.012997
  7      -23.258942     0.013352
  8      -24.878788     0.014823
  9      -27.576953     0.015709
  10      -29.620223     0.018607
  11      -31.502889     0.018196
  12      -32.166184     0.017176
  13      -33.012620     0.017929
  14      -33.444916     0.022631
  15      -33.275346     0.023669
  16      -32.555303     0.030468
  17      -30.890089     0.038384
  18      -28.588195     0.058556
  19      -26.694117     0.065998
