lambda    f             f_err
  0      -0.033400     0.009557
  1      -3.456927     0.010183
  2      -6.632012     0.006453
  3      -12.402143     0.016315
  4      -17.337950     0.012235
  5      -19.517441     0.016773
  6      -21.496504     0.019686
  7      -23.258942     0.014448
  8      -24.878788     0.015518
  9      -27.576953     0.015532
  10      -29.620223     0.019427
  11      -31.502889     0.017852
  12      -32.166184     0.016075
  13      -33.012620     0.011857
  14      -33.444916     0.021369
  15      -33.275346     0.012986
  16      -32.555303     0.023043
  17      -30.890089     0.021039
  18      -28.588195     0.027105
  19      -26.694117     0.024395
